word,level,variant
centimetre,base,
(centimeter),elective,
central,base,
centre,base,
(center),base,
century,base,
ceremony,elective,
certain,base,
certainly,required,
certificate,elective,
chain,required,
chair,base,
chairman,elective,
chairwoman,elective,
chalk,base,
challenge,base,
champion,base,
chance,base,
change,base,
channel,elective,
chaos,elective,
chapter,required,
character,base,
characteristic,base,
charge,required,
charity,base,
charm,required,
chart,elective,
chat,base,
cheap,base,
cheat,base,
check,base,
cheer,base,
cheese,base,
chef,base,
chemical,elective,
chemist,elective,
chemistry,base,
chess,base,
chest,elective,
chew,elective,
chicken,base,
chief,base,
child,base,
childhood,required,
China,required,
Chinese,base,
chip,base,
chocolate,base,
choice,base,
choke,elective,
choose,base,
chopsticks,base,
chore,base,
chorus,elective,
Christmas,base,
church,elective,
cigarette,elective,
cinema,base,
circle,base,
circuit,elective,
circumstance,elective,
circus,elective,
cite,elective,
citizen,base,
city,base,
civil,elective,
civilian,elective,
civilisation,base,
(civilization),elective,
claim,elective,
clap,required,
clarify,elective,
class,base,
classic,base,
classmate,base,
classroom,base,
clay,elective,
clean,base,
clear,base,
clerk,elective,
clever,base,
click,base,
client,elective,
climate,base,
climb,base,
clinic,elective,
clock,base,
clone,elective,
close,base,
cloth,elective,
clothes,base,
cloud,base,
cloudy,base,
club,base,
clue,elective,
coach,base,
coal,required,
coast,base,
coat,base,
coffee,base,
coin,base,
cold,base,
collaborate,required,
collapse,elective,
collar,elective,
collect,base,
collection,required,
college,base,
colour,base,
(color),base,
column,elective,
combine,elective,
come,base,
comedy,elective,
comfort,elective,
comfortable,base,
comic,elective,
command,required,
comment,required,
commercial,elective,
commit,elective,
commitment,elective,
committee,required,
communicate,base,
communication,required,
communist,elective,
community,base,
company,base,
compare,base,
comparison,elective,
compass,required,
compete,base,
competence,elective,
competition,required,
complain,elective,
complete,base,
complex,elective,
complicated,elective,
component,elective,
compose,elective,
composition,elective,
comprehension,elective,
comprehensive,elective,
comprise,elective,
computer,base,
concentrate,required,
concept,elective,
concern,required,
concert,base,
conclude,elective,
conclusion,elective,
concrete,elective,
condition,base,
conduct,required,
conference,required,
confidence,base,
confident,required,
confirm,required,
conflict,elective,
Confucianism,elective,
Confucius,elective,
confused,elective,
congratulation,base,
connect,base,
conscious,elective,
consequence,elective,
conservation,elective,
consider,base,
consist,elective,
consistent,elective,
constant,elective,
constitution,elective,
construction,elective,
consultant,elective,
consultation,elective,
consume,elective,
consumption,elective,
contact,required,
contain,required,
contemporary,elective,
content,required,
contest,elective,
context,required,
continent,required,
continue,base,
contract,elective,
contradictory,elective,
contrary,elective,
contrast,elective,
contribution,required,
control,base,
controversial,elective,
convenient,base,
conventional,elective,
conversation,base,
