word,level,variant
piano,base,
pick,base,
picnic,base,
picture,base,
pie,base,
piece,base,
pig,base,
pile,required,
pill,base,
pilot,base,
ping-pong,base,
pink,base,
pioneer,base,
pipe,elective,
pity,base,
pizza,base,
place,base,
plain,elective,
plan,base,
plane,base,
planet,base,
plant,base,
plastic,base,
plate,base,
platform,elective,
play,base,
player,required,
playground,base,
pleasant,elective,
please,base,
pleasure,base,
plenty,base,
plot,elective,
plug,elective,
plus,required,
p.m.,base,
pocket,base,
poem,base,
poet,base,
poetry,required,
point,base,
poison,required,
polar,elective,
pole,required,
police,base,
policeman,base,
policewoman,base,
policy,required,
polish,elective,
polite,base,
political,elective,
politician,elective,
politics,elective,
pollute,base,
pollution,required,
pond,elective,
pool,base,
poor,base,
popular,base,
population,base,
pork,base,
porridge,base,
port,required,
portrait,required,
pose,elective,
position,base,
positive,base,
possession,elective,
possible,base,
post,base,
postcard,base,
poster,required,
postman,base,
postpone,required,
pot,base,
potato,base,
potential,elective,
pound,base,
pour,base,
poverty,required,
power,base,
practical,elective,
practise,base,
(practice),base,
praise,base,
pray,elective,
precious,elective,
precisely,elective,
predict,elective,
prefer,base,
preference,elective,
prejudice,elective,
premier,elective,
prepare,base,
present,base,
presentation,elective,
preserve,elective,
president,base,
press,base,
pressure,base,
pretend,elective,
pretty,base,
prevent,required,
previous,required,
price,base,
pride,base,
primary,base,
primitive,elective,
prince,base,
princess,base,
principal,elective,
principle,elective,
print,base,
prior,elective,
priority,elective,
prison,elective,
private,base,
prize,base,
probably,base,
problem,base,
procedure,required,
proceed,elective,
process,required,
produce,base,
product,base,
profession,elective,
professional,required,
professor,elective,
profile,elective,
profit,required,
programme,base,
(program),base,
progress,base,
prohibit,elective,
project,base,
promise,base,
promote,elective,
pronounce,base,
pronunciation,required,
proof,elective,
proper,base,
property,elective,
proportion,elective,
proposal,required,
prospect,elective,
prosperity,elective,
protect,base,
protein,elective,
protest,required,
proud,base,
prove,base,
provide,base,
province,required,
psychology,elective,
pub,elective,
public,base,
publish,base,
pudding,required,
pull,base,
punish,base,
purchase,elective,
pure,elective,
purple,base,
purpose,base,
purse,elective,
pursue,elective,
push,base,
put,base,
puzzle,elective,
pyramid,required,
qualification,elective,
qualify,elective,
quality,base,
quantity,elective,
quarter,base,
queen,base,
question,base,
quick,base,
quiet,base,
quit,required,
quite,base,
quote,elective,
rabbit,base,
race,base,
racial,elective,
radiation,elective,
radio,base,
radium,elective,
railway,base,
rain,base,
rainbow,base,
rainy,required,
raise,base,
random,elective,
range,required,
rank,elective,
rapid,base,
rare,elective,
rate,required,
rather,base,
rating,elective,
raw,elective,
ray,elective,
reach,base,
react,elective,
reaction,required,
read,base,
ready,base,
real,base,
realise,base,
(realize),base,
realistic,elective,
reality,elective,
really,base,
reason,base,
recall,elective,
receipt,elective,
receive,base,
recent,base,
recently,required,
receptionist,elective,
recipe,elective,
recite,elective,
recognise,base,
(recognize),base,
recognition,elective,
recommend,base,
record,base,
recording,elective,
recover,required,
recreation,elective,
recycle,base,
red,base,
reduce,base,
refer,required,
reference,elective,
reflect,required,
reform,elective,
refresh,elective,
refuse,base,
regard,required,
regardless,elective,
region,required,
register,elective,
regret,base,
regular,required,
reinforce,elective,
reject,elective,
rejuvenate,elective,
relate,elective,
relationship,base,
relative,base,
relax,base,
relay,elective,
release,elective,
relevant,elective,
reliable,elective,
relief,required,
relieve,required,
religion,required,
rely,elective,
remain,base,
remarkable,elective,
remember,base,
remind,base,
remote,elective,
remove,required,
rent,elective,
repair,base,
repeat,base,
replace,required,
reply,base,
report,base,
represent,required,
representative,elective,
republic,required,
reputation,elective,
request,required,
require,base,
rescue,elective,
research,base,
reserve,elective,
resident,elective,
resign,elective,
resistance,elective,
resolution,elective,
resolve,elective,
resource,required,
respect,base,
respective,elective,
respond,required,
response,required,
responsibility,elective,
responsible,base,
rest,base,
restaurant,base,
restore,elective,
restrict,elective,
result,base,
retire,required,
return,base,
reveal,required,
review,base,
revise,required,
revolution,required,
reward,elective,
rhyme,elective,
rhythm,required,
rice,base,
rich,base,
riddle,elective,
ride,base,
right,base,
rigid,elective,
ring,base,
ripe,elective,
rise,base,
risk,base,
rival,elective,
river,base,
road,base,
roast,elective,
robot,base,
rock,base,
rocket,base,
role,base,
roll,required,
romantic,required,
roof,elective,
room,base,
root,elective,
rope,base,
rose,base,
rough,elective,
round,base,
route,elective,
routine,elective,
row,base,
royal,elective,
rubber,elective,
rubbish,base,
rude,elective,
rugby,elective,
ruin,elective,
rule,base,
ruler,base,
run,base,
rural,elective,
rush,base,
sacrifice,elective,
sad,base,
safe,base,
safety,base,
sail,elective,
salad,base,
salary,elective,
sale,base,
salesman,elective,
saleswoman,elective,
salt,base,
salty,elective,
same,base,
sample,elective,
sand,base,
sandwich,base,
satellite,elective,
satisfaction,required,
satisfy,base,
sauce,required,
saucer,elective,
sausage,elective,
save,base,
saving,elective,
say,base,
saying,elective,
scale,required,
scan,required,
scare,base,
scarf,base,
scene,required,
schedule,required,
scholarship,elective,
school,base,
schoolbag,base,
science,base,
scientific,elective,
scientist,base,
scissors,base,
score,base,
scream,elective,
screen,base,
sculpture,elective,
sea,base,
search,base,
season,base,
seat,base,
secondary,elective,
secret,base,
secretary,required,
section,required,
secure,elective,
security,elective,
see,base,
seed,elective,
seek,required,
seem,base,
seize,elective,
seldom,base,
select,required,
selfish,elective,
sell,base,
semester,elective,
send,base,
senior,required,
sense,base,
sensitive,elective,
sentence,base,
separate,base,
series,required,
serious,base,
servant,elective,
serve,base,
service,base,
session,elective,
set,base,
setting,elective,
settle,required,
several,base,
severe,elective,
sew,elective,
sex,required,
shade,elective,
shadow,elective,
shake,base,
shall,base,
shallow,required,
shame,base,
shape,base,
share,base,
shark,base,
sharp,required,
shave,elective,
she,base,
sheep,base,
sheet,required,
shelf,base,
shell,elective,
shelter,elective,
shift,elective,
shine,base,
ship,base,
shirt,base,
shock,base,
shoe,base,
shoot,base,
shop,base,
shore,elective,
short,base,
shortage,elective,
shorts,base,
should,base,
shoulder,base,
shout,base,
show,base,
shower,base,
shut,base,
shy,base,
sick,base,
side,base,
sigh,required,
sight,required,
sign,base,
signal,required,
significant,required,
silence,required,
silent,base,
silk,base,
silly,base,
silver,base,
similar,base,
simple,base,
since,base,
sincerely,elective,
sing,base,
single,base,
sink,elective,
sir,base,
sister,base,
sit,base,
site,required,
situation,base,
size,base,
skate,base,
skateboard,elective,
ski,base,
skill,base,
skin,required,
skip,elective,
skirt,base,
sky,base,
slave,required,
sleep,base,
sleepy,required,
slice,elective,
slide,required,
slightly,required,
slim,base,
slip,elective,
slow,base,
small,base,
smart,base,
smell,base,
smile,base,
smog,required,
smoke,base,
smooth,base,
snack,base,
snake,base,
sneeze,elective,
snow,base,
snowy,required,
so,base,
soccer,required,
social,base,
socialism,base,
socialist,elective,
society,base,
sock,base,
sofa,base,
soft,base,
software,required,
soil,base,
solar,elective,
soldier,base,
solid,elective,
solution,required,
solve,base,
some,base,
somebody,base,
someone,base,
somehow,required,
something,base,
sometimes,base,
somewhat,elective,
somewhere,base,
son,base,
song,base,
soon,base,
sore,base,
sorrow,elective,
sorry,base,
sort,required,
soul,elective,
sound,base,
soup,base,
sour,elective,
source,required,
south,base,
southern,required,
souvenir,elective,
sow,elective,
space,base,
spacecraft,required,
spare,base,
speak,base,
speaker,required,
special,base,
specialist,elective,
species,elective,
specific,required,
speech,base,
speed,base,
spell,base,
spend,base,
spicy,required,
spirit,base,
splendid,elective,
split,required,
sponsor,elective,
spoon,base,
sport,base,
spot,elective,
spread,base,
spring,base,
spy,elective,
square,base,
stability,elective,
stadium,elective,
staff,base,
stage,base,
stair,required,
stamp,base,
stand,base,
standard,base,
star,base,
stare,elective,
start,base,
starve,elective,
state,base,
station,base,
statistic,elective,
statue,elective,
status,elective,
stay,base,
steady,required,
steak,elective,
steal,base,
steam,elective,
steel,elective,
step,base,
stick,base,
still,base,
stimulate,elective,
stomach,base,
stomachache,required,
stone,base,
stop,base,
store,base,
storm,base,
story,base,
straight,base,
straightforward,elective,
strait,elective,
strange,base,
stranger,required,
strategy,required,
strawberry,base,
stream,elective,
street,base,
strength,required,
strengthen,elective,
stress,base,
stretch,elective,
strict,base,
strike,elective,
string,elective,
strong,base,
structure,elective,
struggle,required,
student,base,
studio,required,
study,base,
stuff,base,
stupid,required,
style,base,
subject,base,
subjective,elective,
submit,elective,
subscribe,elective,
subsequent,elective,
substance,elective,
substantial,elective,
suburb,elective,
subway,required,
succeed,base,
success,base,
successful,required,
such,base,
sudden,base,
suffer,base,
sufficient,required,
sugar,base,
suggest,base,
suggestion,required,
suit,base,
suitable,elective,
sum,elective,
summary,required,
summer,base,
sun,base,
sunny,base,
super,required,
superb,elective,
superior,elective,
supermarket,base,
supplement,elective,
supply,required,
support,base,
suppose,base,
sure,base,
surf,base,
surface,base,
surgeon,elective,
surgery,elective,
surprise,base,
surround,required,
surrounding,elective,
survey,base,
survive,base,
suspect,elective,
suspend,elective,
sustain,elective,
sweat,required,
sweater,base,
sweep,base,
sweet,base,
swim,base,
swing,elective,
switch,elective,
symbol,base,
sympathy,elective,
symphony,elective,
symptom,elective,
system,required,
table,base,
tablet,elective,
tackle,elective,
tail,base,
tailor,elective,
take,base,
tale,elective,
talent,base,
talk,base,
tall,base,
tank,elective,
tap,base,
tape,base,
target,required,
task,base,
taste,base,
tax,elective,
taxi,base,
tea,base,
teach,base,
teacher,base,
team,base,
teamwork,base,
teapot,elective,
tear,required,
technique,required,
technology,base,
teenage,base,
teenager,required,
telephone,required,
telescope,elective,
tell,base,
temperature,base,
temple,elective,
temporary,elective,
tend,required,
tendency,elective,
tennis,base,
tension,elective,
tent,base,
term,base,
terrible,base,
territory,elective,
test,base,
text,base,
than,base,
thank,base,
that,base,
theatre,base,
(theater),base,
theft,elective,
their,base,
theirs,base,
them,base,
theme,required,
themselves,base,
then,base,
theory,elective,
there,base,
therefore,base,
these,base,
they,base,
thick,base,
thin,base,
thing,base,
think,base,
thinking,elective,
thirsty,base,
this,base,
thorough,elective,
those,base,
though,base,
thought,base,
threat,elective,
threaten,elective,
throat,base,
through,base,
throughout,required,
throw,base,
thunder,base,
thus,required,
ticket,base,
tidy,base,
tie,base,
tiger,base,
tight,elective,
time,base,
tiny,base,
tip,required,
tired,base,
tissue,required,
title,required,
toast,elective,
tobacco,elective,
today,base,
tofu,base,
(bean,base,
curd),base,
together,base,
toilet,base,
tolerate,elective,
tomato,base,
tomb,required,
tomorrow,base,
ton,base,
tone,elective,
tonight,base,
too,base,
tool,base,
tooth,base,
toothache,required,
top,base,
topic,required,
total,base,
touch,base,
tough,required,
tour,base,
tourist,base,
tournament,elective,
towards,base,
(toward),base,
towel,elective,
tower,base,
town,base,
toy,base,
track,required,
trade,base,
tradition,base,
traditional,required,
traffic,base,
train,base,
training,base,
transfer,required,
transform,elective,
transition,elective,
translate,base,
transport,required,
trap,elective,
travel,base,
treasure,base,
treat,base,
treatment,required,
tree,base,
trend,elective,
trial,elective,
trick,elective,
trip,base,
tropical,elective,
trouble,base,
trousers,base,
truck,base,
true,base,
trunk,elective,
trust,base,
truth,base,
try,base,
T-shirt,base,
tube,elective,
tune,elective,
tunnel,required,
turkey,required,
turn,base,
TV,base,
(=television),base,
twice,required,
twin,elective,
type,required,
typhoon,elective,
typical,required,
ugly,base,
ultimately,elective,
umbrella,base,
uncle,base,
under,base,
underground,base,
understand,base,
uniform,base,
union,required,
unique,required,
unit,base,
universe,base,
university,base,
unless,base,
until,base,
(till),base,
unusual,elective,
up,base,
update,required,
upon,base,
upper,required,
upset,elective,
urban,elective,
urge,elective,
urgent,elective,
us,base,
use,base,
used,required,
useful,required,
usual,base,
usually,required,
vacation,base,
valid,elective,
valley,elective,
valuable,required,
value,base,
variation,elective,
variety,required,
various,required,
vary,elective,
vase,elective,
vast,elective,
vegetable,base,
vehicle,required,
venue,elective,
version,elective,
very,base,
victim,elective,
victory,base,
video,base,
view,base,
village,base,
violence,elective,
violin,base,
virtual,elective,
virtue,elective,
virus,base,
visible,elective,
vision,elective,
visit,base,
visitor,required,
visual,elective,
vital,elective,
vivid,elective,
vocabulary,elective,
voice,base,
volcano,required,
volleyball,base,
volume,elective,
voluntary,base,
volunteer,base,
vote,base,
voyage,elective,
wage,elective,
waist,elective,
wait,base,
wake,base,
walk,base,
wall,base,
wallet,base,
wander,elective,
want,base,
war,base,
ward,elective,
warm,base,
warn,base,
warning,elective,
wash,base,
washroom,elective,
waste,base,
watch,base,
water,base,
watermelon,base,
wave,base,
way,base,
we,base,
weak,base,
wealth,base,
weapon,elective,
wear,base,
weather,base,
web,required,
website,base,
wedding,required,
weed,elective,
week,base,
weekday,base,
weekend,base,
weekly,elective,
weep,elective,
weigh,base,
weight,base,
welcome,base,
welfare,elective,
well,base,
west,base,
western,required,
wet,base,
wetland,required,
whale,base,
what,base,
whatever,base,
wheat,elective,
wheel,base,
when,base,
whenever,base,
where,base,
whether,base,
which,base,
while,base,
whisper,elective,
white,base,
who,base,
whole,base,
whom,base,
whose,base,
why,base,
wide,base,
widespread,elective,
wife,base,
Wi-Fi,required,
wild,base,
will,base,
win,base,
wind,base,
window,base,
windy,base,
wine,required,
wing,base,
winner,base,
winter,base,
wire,elective,
wisdom,elective,
wise,base,
wish,base,
with,base,
withdraw,elective,
within,base,
without,base,
witness,elective,
wolf,base,
woman,base,
wonder,base,
wonderful,base,
wood,base,
wool,elective,
word,base,
work,base,
worker,base,
world,base,
worry,base,
worse,base,
worst,base,
worth,base,
worthwhile,elective,
worthy,elective,
would,base,
wound,base,
wrap,elective,
wrestle,elective,
wrinkle,elective,
wrist,elective,
write,base,
writer,required,
wrong,base,
yard,base,
year,base,
yellow,base,
yes,base,
yesterday,base,
yet,base,
yield,elective,
yoghurt,base,
you,base,
young,base,
your,base,
yours,base,
yourself,base,
youth,base,
zero,base,
zone,elective,
zoo,base,
部分国家名称及相关信息（供教学参考）,base,
续表,base,
